Position,Move,Depth,Score
1k1rr3/ppqbbppp/5n2/3p1B2/8/2P1NP2/PPQ3PP/1K1RB2R w - - 1 15,f5d7,16,+152
b5rb/3kp2p/3p1p2/7p/P4n2/8/P2PPPPP/3R1RKB w - - 3 20,h2h4,13,-429
r2qk1r1/ppp1pp1p/2p3p1/8/3bP3/2N3Pb/PPP2P1P/R2QKNR1 w KQkq - 0 8,g3g4,13,-219
nrk1bbrq/p1p2p1p/1pn1p3/6p1/3P4/1NN3P1/PPP1PP1P/1RK1BBRQ b KQkq - 0 6,c6d4,16,+196
1b2rk2/p1p2p2/1nQ5/5N1p/8/1p2P1P1/P2q1P1P/1B2RK2 w Q - 0 17,c6h6,1,+8496
1r1kr1n1/p1p3pp/1p1pbpn1/1Q1q4/8/1P4N1/P1P1P1PP/1RBKNB2 w Qkq - 3 12,b5d5,13,-275
1r2qkr1/1bnp1nbp/pp3p2/2pPpPp1/P1P1P1P1/2N2B2/1P5P/NRB1QRK1 w kq - 3 15,b2b4,10,+520
2kr3r/p4pp1/1p2pq2/2p2n1p/8/1P1PR1P1/PKPQ1PNP/3R4 w - - 1 21,b2b1,13,-208
6k1/p4p1p/4p1p1/8/4P2P/P3bqPK/1P6/6rB w - - 0 34,h1f3,1,-9754
qrbkrnnb/pp2pp1p/2p3p1/8/3PB3/2P3P1/PP3P1P/QRBKRNN1 b KQkq - 0 5,a7a5,19,+26
2nqrnkr/pb3ppp/1p6/2pP4/5b2/1P2N3/P4PPP/BBNQRRK1 b kq - 2 9,c8e7,16,+164
8/1pp1ppkp/1p1p2p1/5P2/8/r1P1P1P1/3P1R1P/6K1 w - - 1 26,f5g6,1,-2616
nbrqk1br/ppppp2p/4n1p1/5p2/8/4N2P/PPPPPPPB/NBRQK2R w KQkq - 0 4,h2e5,10,+649
rkbb2rq/pp3Ppp/2ppn3/3p4/3P4/8/PPP2PPP/RK1BNNRQ w KQkq - 1 8,f7g8q,1,+1529
2k4q/3n1p2/p1pQpPp1/PpP1P1P1/1Pp5/2P3B1/1K6/1B6 b - - 4 33,h8h1,1,+1729
nbkr2qr/pn1b1p1p/1pp1p1p1/3pP3/3P1PN1/8/PPP2QPP/NBB1RRK1 w - - 4 9,b2b4,13,+343
brkbn1rn/pppp1ppp/8/4B3/8/qP6/P1PPPPPP/1RKBNQRN w KQkq - 1 3,e5b2,13,+251
bq1rr1k1/3p1npp/p3np2/1ppNb3/2P1P3/1P3PP1/PB2N2P/1Q1BRRK1 b - - 1 19,b5c4,16,-111
bbnnrqkr/p1pppppp/1p6/8/1P6/8/P1PPPPPP/BBNNRQKR w KQkq - 0 2,h2h4,19,0
brqn1rk1/ppp1ppbp/5np1/3p4/3P4/5NP1/PPP1PPBP/BRQN1RK1 w - - 2 6,b2b4,19,+7
rqbk2r1/ppp1bppp/4pnn1/3p2B1/3P4/4PNN1/PPP2PPP/RQ1K1BR1 w KQkq - 1 6,c2c4,19,+46
5bk1/7p/4Q1p1/2p1p3/4P3/2q3P1/5BBP/3r1NK1 b - - 2 23,g8g7,16,+155
bnrkr1qb/p4p1p/1pppn1p1/4p3/4P3/N1P1N1P1/PP1P1P1P/B1KRR1QB w kq - 0 7,c1b1,16,+110
r2b1kbr/pppp2pp/2n5/1q2p3/3PP3/2PN4/PP2Q1PP/R2B1KBR w KQkq - 0 10,d4d5,13,+313
1k1rr2b/pp2qp1p/2p1p1p1/3nN3/3P1P2/2P3PP/PP1NQ3/1K1RR3 b - - 5 18,f7f5,19,+91
qrk1rnbb/pppp1ppp/2n5/4p3/5PP1/8/PPPPP2P/QRKNRNBB w KQkq - 0 3,b2b4,13,+286
r3k1r1/1p3pb1/p1nqn2p/3pp3/Q4p2/2PP3P/PP1B3P/R3KNRB w KQkq - 0 15,e1c1,13,-381
nnqrk3/ppppp2p/6p1/5r2/2b5/2P1R3/PP1P2PP/NNQRK1BB w Qq - 2 8,d2d3,10,+686
