Position,Move,Depth,Score
8/R7/4k2p/8/1r2pP1P/8/5PK1/8 b - - 0 41,e6f5,50,0
b1rk2n1/p1bp1r1N/1pp1p2p/4Pp2/2PP2p1/1P4P1/5PBP/B1R2RK1 w q - 2 18,h7f6,40,-202
q3rrk1/pppp2pp/1n3pn1/8/2PPPp2/bPQN4/P2BKNPP/1R4R1 w - - 3 12,b3b4,40,+182
1rq2k1r/p1p3pp/1pbp1n2/3np1Q1/8/1P1P1N2/P1P2PPP/BR3K1R b KQ - 2 12,h7h6,20,-610
bbkr2qr/p4ppp/1p3nn1/8/3pP3/1PB1QPN1/P5PP/1BR2RK1 w - - 0 12,c3d4,40,-167
3rr3/1kp3pp/3n4/8/4p3/R3R1N1/6PP/2K2BB1 b - - 1 23,d8a8,20,+579
1r1q1rk1/4bp1p/1p2n3/p1p1P1P1/6Q1/2P2P2/PP4P1/BR3NKR b KQ - 0 18,c5c4,40,+156
qnrb1k1r/pb3ppp/1p1pp3/1Pp5/P1P4n/4PPN1/3PB1PP/QNR1BKR1 b KQq - 0 10,b8d7,50,-6
1r1r4/pk3qpp/1ppb1n2/2p5/8/4QP2/1PPP2PP/BRK1R3 b Q - 4 19,d8e8,20,-608
2r2rkb/pp2pb1p/3q1np1/1N1p4/5P2/1P1Q2P1/P4B1P/1K3RNB b - - 2 16,d6a6,20,-511
nrbbknrq/ppp1pp2/3p2p1/7p/4P2P/3P2N1/PPP2PP1/NRBBK1RQ b KQkq - 0 4,c7c6,50,-50
brkqrbnn/p4ppp/1p2p3/2ppN3/4P3/3P4/PPP2PPP/BRKQRB1N w KQkq - 0 5,e4d5,50,-37
1b2r1kr/p2p1ppp/1pbqn1n1/2p1p3/2Q1P3/1PP1N3/P2P1PPP/BBN1RRK1 b kq - 2 9,g6f4,40,-134
2qbb1k1/p1n5/4p1pp/1pPpPp2/3P1P2/P1NBB1P1/1Q3K1P/8 b - - 0 33,c8b7,50,+41
nqnbrkbr/p2ppppp/1p6/2p5/4P3/3P3P/PPP2PP1/NQNBRKBR b KQkq - 0 3,e7e5,50,-6
2k3q1/pbn5/1p4p1/2p2p1p/2P5/1NPr1P2/P1K3PP/6N1 b - - 1 25,g8c4,20,#-8
b3r3/ppR2p1p/6pk/4B3/5R1P/1P4P1/P3K3/8 b - - 0 24,f7f5,20,+493
8/1ppnrk1p/p5pb/8/4p3/P1P5/2P1RPPP/3R3K w - - 7 25,c3c4,20,-417
r4rk1/ppp1R2p/2bn2p1/8/8/2P3P1/PP1N1B1P/4R1K1 b - - 4 22,a8d8,50,0
