Position,Move,Depth,Score
7r/1p1Q1kp1/2p2p2/2B5/3P4/1P2P3/3KR3/6qq b - - 5 36,f7g6,10,-4678
r2q1r1b/1kp2pp1/1p1npn1p/p2pNb2/P2P4/1P2PP2/1BPQN1PP/RK3R1B b KQ - 3 10,f5h7,16,116
b1rqk1r1/pppp1ppp/2n3n1/2b5/4P3/6PB/PPP2P1P/BNRQK1RN b KQkq - 2 6,g6e5,19,-66
6k1/p6p/2q3p1/1p3p2/1Pb1rQ2/7P/P4PP1/2R3K1 w - - 2 30,f4b8,10,-994
n1bqrrk1/ppb2pp1/2p2n1p/3p4/8/1NP2N2/PP2PPPP/1BBQRRK1 w - - 2 9,b3d2,19,-26
1r1knqrb/pp1bpp2/1n1p4/2p4p/2P5/1P1PPNPP/P1NB4/1R1K1QRB w KQq - 0 12,a2a4,19,32
1k1rqrb1/ppp3pp/2n3n1/4Pp2/8/1PN2BP1/PKPP1N1P/R3Q1R1 b - - 0 13,c6e5,19,-28
3r1k2/p3p1b1/1pn2prp/2p4Q/4P3/1P3NqP/P1P3P1/B3RKRB w K - 1 18,h5h4,10,1604
3r1rk1/1p2Qp2/2p2ppp/q2p1b2/P2P1P1P/8/2P1P3/1B1K2R1 b - - 0 19,a5b6,10,-3667
1rk1nrbQ/1p2p2p/6p1/qP3p2/p2P1P2/6P1/P3P2P/1RK2R1B b KQkq - 0 14,g8b3,10,-4749
nrqbkn1r/p1p1p1pp/1p1p1p2/8/4P3/1P3P2/1PPP2PP/1RQBKNBR w KQkq - 0 5,d2d4,16,167
b1r1knqr/p1bp2pp/1pn1pp2/2p5/5PP1/1PN1PB2/P1PP3P/B1R1KNQR w KQkq - 1 7,g4g5,16,120
r1k1bbqr/pppp1ppp/2n5/4n3/3P4/2N3B1/PPP1P1PP/R1KN1BQR b KQkq - 0 5,e5g6,16,193
1n4r1/2n2kr1/1pp1p2b/p2p1p1b/P2P1P1P/2N1B3/1PPN2B1/2K1R1R1 w - - 11 24,g2f3,19,-9
2n1rk1r/p4ppp/1p2p3/2pbq3/8/1P6/P1BPPPPP/1Q2RK1R w KQkq - 0 10,h2h4,10,-1981
r1bqrnk1/ppb2ppp/2p5/8/3P3P/3QN3/PPB2PP1/R4NKR w KQ - 1 14,h4h5,19,-16
5r1q/4k1pp/8/2Q5/5P2/6P1/PPP4P/2K5 b - - 0 31,e7d7,12,-8
k2r1q2/7p/p1b5/2n1Qp2/5B2/3P2P1/3KN2P/1R6 b - - 8 37,c5d3,13,-627
1r6/3R4/k1p5/pp1bP3/5P2/2PB2P1/PP5r/2KR4 w - - 0 29,f4f5,10,1368
2krrb2/pp3bpp/n1p1qpn1/4p3/3pPP2/3P2P1/PPPQNN1P/1K1RRBB1 w - - 7 13,f1h3,10,1974
rk1b1rb1/ppp1n2p/3p4/4pp1B/q2P4/1N4N1/PPPQ2nP/1K1R1RB1 b kq - 1 11,g2f4,16,106
2k4b/p1ppp2p/1p4p1/2n5/2q5/2P5/2R4P/B1R1K3 b - - 0 23,h8f6,9,-6306
rkq1r3/ppp4p/3p2p1/5pP1/3bPP2/3B3P/PPP1R3/RKB1Q3 w Qq - 0 20,e4f5,10,3169
1brr2k1/pp5p/1n2bnp1/2p2p2/4pP2/1NP1P2P/PPB1N1PB/2R2RK1 w - - 0 14,b3a5,13,-253
n1r1k2r/ppp3p1/5pn1/2P1b2p/7P/3N1P2/PP4P1/3RKBBR w KQk - 0 15,d3e5,13,273
3r1r2/1p4pk/p2bb2q/4p3/3pQ2P/n1P3P1/R2NNP2/4K1R1 b K - 1 23,h7h8,10,-4645
5r1k/6bp/7n/P1PQ4/3Pp3/P7/5qBP/1R2NNK1 w - - 0 31,g1h1,16,101
r1b2rk1/1p2pp1p/2p3p1/2Np4/5PP1/1P1P1B2/4P2P/2R2RK1 b - - 2 20,a8a5,10,1826
6r1/3knbpp/4p3/1qN1P3/p2P4/8/BPN4P/1K1R1R2 b - - 8 29,d7e8,16,107
4k3/8/1B1p2pp/1P3n2/2P2P2/2K5/7P/8 w - - 0 38,c3b4,10,876
2k1nr2/p4r1p/1p3Np1/2p1p1P1/2P1PpP1/2PP1K2/P7/3R3R w - - 9 32,d3d4,16,141
8/4r1pp/3p1pk1/3P4/3P4/6K1/5Nn1/2R5 b - - 3 33,g2e3,10,-1674
